Order,CommonName,SciName,Status
492,Pelagic Cormorant,Phalacrocorax pelagicus,
493,Great Cormorant,Phalacrocorax carbo,
494,Neotropic Cormorant,Phalacrocorax brasilianus,
495,Double-crested Cormorant,Phalacrocorax auritus,
496,American White Pelican,Pelecanus erythrorhynchos,
497,Brown Pelican,Pelecanus occidentalis,
498,American Bittern,Botaurus lentiginosus,
499,Great Bittern,Botaurus stellaris,Rare/Accidental
500,Yellow Bittern,Ixobrychus sinensis,
501,Least Bittern,Ixobrychus exilis,
502,Bare-throated Tiger-Heron,Tigrisoma mexicanum,Rare/Accidental
503,Great Blue Heron,Ardea herodias,
504,Gray Heron,Ardea cinerea,Rare/Accidental
505,Great Egret,Ardea alba,
506,Intermediate Egret,Ardea intermedia,Rare/Accidental
507,Chinese Egret,Egretta eulophotes,Vulnerable
508,Little Egret,Egretta garzetta,Rare/Accidental
509,Western Reef-Heron,Egretta gularis,Rare/Accidental
510,Snowy Egret,Egretta thula,
511,Little Blue Heron,Egretta caerulea,
512,Tricolored Heron,Egretta tricolor,
513,Reddish Egret,Egretta rufescens,Near-threatened
514,Cattle Egret,Bubulcus ibis,
515,Chinese Pond-Heron,Ardeola bacchus,Rare/Accidental
516,Green Heron,Butorides virescens,
517,Striated Heron,Butorides striata,Rare/Accidental
518,Black-crowned Night-Heron,Nycticorax nycticorax,
519,Yellow-crowned Night-Heron,Nyctanassa violacea,
520,White Ibis,Eudocimus albus,
521,Scarlet Ibis,Eudocimus ruber,Rare/Accidental
522,Glossy Ibis,Plegadis falcinellus,
523,White-faced Ibis,Plegadis chihi,
524,Sacred Ibis,Threskiornis aethiopicus,Introduced species
525,Roseate Spoonbill,Platalea ajaja,
526,California Condor,Gymnogyps californianus,Critically endangered
527,Black Vulture,Coragyps atratus,
528,Turkey Vulture,Cathartes aura,
529,Osprey,Pandion haliaetus,
530,White-tailed Kite,Elanus leucurus,
531,Hook-billed Kite,Chondrohierax uncinatus,
532,Swallow-tailed Kite,Elanoides forficatus,
533,Golden Eagle,Aquila chrysaetos,
534,Snail Kite,Rostrhamus sociabilis,
535,Double-toothed Kite,Harpagus bidentatus,Rare/Accidental
536,Mississippi Kite,Ictinia mississippiensis,
537,Eurasian Marsh-Harrier,Circus aeruginosus,Rare/Accidental
538,Hen Harrier,Circus cyaneus,Rare/Accidental
539,Northern Harrier,Circus hudsonius,
540,Chinese Sparrowhawk,Accipiter soloensis,Rare/Accidental
541,Eurasian Sparrowhawk,Accipiter nisus,Rare/Accidental
542,Sharp-shinned Hawk,Accipiter striatus,
543,Cooper's Hawk,Accipiter cooperii,
544,Northern Goshawk,Accipiter gentilis,
545,Black Kite,Milvus migrans,Rare/Accidental
